Time,<FuelMassFlw>,<EoNOx>,<PwrHeatTrnsfrLoss>,EngTrq,InjPw,SpkAdv,ICP,ECP
0 sec,0.00860215053763441,8.04807035851348e-05,349189.627938848,119.324797066032,20,40,42.56515983197,8.85820658518076
0.2 sec,0.00860215053763441,8.04807035851348e-05,349189.627938848,119.324797066032,20,40,42.56515983197,8.85820658518076
0.4 sec,0.00620312255854447,7.57116288442363e-05,242482.987187027,116.38378606926,14.4222599486159,26.5042249898709,24.2179081396784,13.7670693553481
0.6 sec,0.00158733657313656,6.86703039088446e-05,37739.5953220902,104.594452322889,3.6905575325425,10,20,18.6759321255155
0.8 sec,0.00158733657313656,6.86703039088446e-05,37739.5953220902,104.594452322889,3.6905575325425,10,20,18.6759321255155
1 sec,0.00860215053763441,8.06801805513607e-05,349345.778966552,118.922581957294,20,33.6557108150838,33.5700665011146,0
1.2 sec,0.00492749323740532,7.68822412253444e-05,187087.884984628,107.434032865944,11.4564217769674,10,20,0
1.4 sec,0.00492749323740532,7.68822412253444e-05,187087.884984628,107.434032865944,11.4564217769674,10,20,0
1.6 sec,0.00105528412460212,6.82072979921979e-05,12252.9211551143,108.782590319983,2.45353558969994,15.7282481903803,52.981902493723,12.3431701917329
1.8 sec,0.00826109109043993,8.12884122826115e-05,334336.668361278,117.272230533407,19.2070367852728,19.7970378255811,47.1714058325346,12.2031520399604
2 sec,0.00826109109043993,8.12884122826115e-05,334336.668361278,117.272230533407,19.2070367852728,19.7970378255811,47.1714058325346,12.2031520399604
2.2 sec,0.00196177546543291,6.20487824306007e-05,51195.4586067459,120.797694831198,4.56112795713151,40,20,19.2634989936128
2.4 sec,0.00860215053763441,8.5988924307048e-05,352070.1303194,107.966597542293,20,10,27.9547259699873,19.1604106442211
2.6 sec,0.00860215053763441,8.5988924307048e-05,352070.1303194,107.966597542293,20,10,27.9547259699873,19.1604106442211
2.8 sec,0.00222629701424321,6.21891493343407e-05,61610.7775167155,124.16886858327,5.17614055811546,36.0386344616729,37.4002261092201,0
3 sec,0.00720689772207149,7.95317878991935e-05,289184.643354961,111.008280140917,16.7560372038162,18.5120270785312,20,23.9303089287702
3.2 sec,0.00720689772207149,7.95317878991935e-05,289184.643354961,111.008280140917,16.7560372038162,18.5120270785312,20,23.9303089287702
3.4 sec,0.00348996578438209,6.93578187653755e-05,120281.081972603,117.022460631449,8.11417044868835,40,59.8468554268633,24.7901672548807
3.6 sec,0.00638711291018389,7.95295341938259e-05,254072.309327494,103.224737233024,14.8500375161775,10,50.8694540952588,40
3.8 sec,0.00638711291018389,7.95295341938259e-05,254072.309327494,103.224737233024,14.8500375161775,10,50.8694540952588,40
4 sec,0.00234666937211863,6.61158541368674e-05,68464.8770359768,118.524898784129,5.4560062901758,19.4309061834647,51.2902121055038,21.5675091257466
4.2 sec,0,6.38310492047979e-05,-36109.4498434947,113.148973444799,0,23.5223425661859,57.4926759020045,11.119698116914
4.4 sec,0,6.38310492047979e-05,-36109.4498434947,113.148973444799,0,23.5223425661859,57.4926759020045,11.119698116914
